ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0138,1,2016,10,27,20,AV CABILDO Y BLANCO ENCALADA,avenida,13,-58.45909670,-34.55922742,bicicleta,cargas,ciclista,femenino,33
2016-0139,1,2016,10,28,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,avenida,14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,femenino,35
2016-0140,1,2016,10,31,2,AV JURAMENTO Y VUELTA DE OBLIGADO,avenida,13,-58.45566399,-34.56147293,pasajeros,pasajeros,pasajero_acompañante,masculino,20
2016-0142,1,2016,11,5,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,avenida,1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,46
2016-0143,1,2016,11,6,4,AV 27 DE FEBRERO Y AV ESCALADA,avenida,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,35
2016-0144,1,2016,11,7,12,AV. ALTE. BROWN 984,avenida,4,-58.35975012,-34.63343907,peaton,pasajeros,peaton,masculino,83
2016-0145,1,2016,11,7,20,AV DEL LIBERTADOR Y LA PAMPA,avenida,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,39
2016-0146,1,2016,11,9,20,PICHINCHA Y AV BRASIL,avenida,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,femenino,29
2016-0147,1,2016,11,16,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,avenida,1,-58.38896772,-34.61799615,otros,pasajeros,pasajero_acompañante,masculino,55
2016-0148,1,2016,11,16,22,AV GARMENDIA 4895,avenida,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,37
2016-0150,1,2016,11,18,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,avenida,4,-58.40879146,-34.65273216,cargas,cargas,pasajero_acompañante,masculino,41
2016-0152,1,2016,11,23,21,AV PERITO MORENO Y ZUVIRIA,avenida,7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,42
2016-0153,1,2016,11,25,15,ARAOZ Y AV CORDOBA,avenida,15,-58.42917090,-34.59485488,peaton,moto,peaton,femenino,83
2016-0154,1,2016,11,26,14,AV GRAL PAZ 15200,avenida,8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,38
2016-0155,1,2016,11,26,16,MADERO 900,calle,10,-58.52756365,-34.62772274,peaton,auto,peaton,femenino,29
2016-0156,1,2016,11,26,19,AV INDEPENDENCIA Y DEAN FUNES,avenida,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,23
2016-0157,1,2016,12,3,6,AV JUAN B JUSTO 5645,avenida,11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,23
2016-0159,1,2016,12,4,7,AV 27 DE FEBRERO Y AV ESCALADA,avenida,8,-58.44451316,-34.68475866,auto,auto,conductor,masculino,23
2016-0160,1,2016,12,6,5,AUTOPISTA PERITO MORENO ALTURA VELZ,autopista,9,-58.51927194,-34.63635787,cargas,objeto fijo,conductor,masculino,29
2016-0161,1,2016,12,6,7,AV SANTA FE Y GODOY CRUZ,avenida,14,-58.42525456,-34.57866344,peaton,pasajeros,peaton,masculino,50
2016-0162,1,2016,12,7,5,AV FEDERICO LACROZE Y AV FOREST,avenida,15,-58.45396573,-34.58518167,peaton,auto,peaton,masculino,38
2016-0163,1,2016,12,10,7,AV GRAL PAZ Y AV GENERAL MOSCONI,avenida,11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,23
2016-0164,1,2016,12,11,6,AV LA PLATA Y CNEL GREGORIO POMAR,avenida,4,-58.42323628,-34.64119105,auto,auto,conductor,masculino,29
2016-0165,1,2016,12,12,8,AV MARTIN GARCIA 300,avenida,4,-58.36926144,-34.62841919,bicicleta,pasajeros,ciclista,masculino,37
2016-0168,1,2016,12,13,10,AV LA PLATA Y CNEL GREGORIO POMAR,avenida,4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,43
2016-0169,1,2016,12,15,15,NUÑEZ Y AV RICARDO BALBIN,avenida,12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,24
2016-0170,1,2016,12,19,17,AV GRAL PAZ 4500,avenida,12,-58.50598256,-34.56379980,moto,auto,pasajero_acompañante,masculino,21
2016-0171,1,2016,12,25,19,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,autopista,1,-58.36607137,-34.62150748,moto,moto,conductor,masculino,37
2016-0172,1,2016,12,26,8,AV GARAY Y CASTRO,avenida,5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,38
2016-0173,1,2016,12,26,19,AV DIRECTORIO Y AV SAN PEDRITO,avenida,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,35
2016-0175,1,2016,12,27,8,CNEL RAMON L FALCON Y MEMBRILLAR,calle,7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,femenino,37
2016-0176,1,2016,12,28,1,AV BELGRANO Y AV PASEO COLON,avenida,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,28
2016-0177,1,2016,12,29,4,ARENALES 3319,calle,14,-58.40966671,-34.58788235,peaton,auto,peaton,femenino,27
2016-0178,1,2016,12,30,16,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,calle,3,-58.40288226,-34.61544091,peaton,multiple,peaton,femenino,7
